==10723== NVPROF is profiling process 10723, command: ./acclNP
==10723== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10723== Profiling application: ./acclNP
==10723== Profiling result:
==10723== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN (0)"
	Kernel: findSpansKernel(int*, int*, int const *, int, int)
          2                  l1_cache_global_hit_rate                        L1 Global Hit Rate       0.00%       0.00%       0.00%
          2                   l1_cache_local_hit_rate                         L1 Local Hit Rate       0.00%       0.00%       0.00%
          2                             sm_efficiency                   Multiprocessor Activity       7.09%       7.09%       7.09%
          2                                       ipc                              Executed IPC    0.308040    0.318813    0.313427
          2                        achieved_occupancy                        Achieved Occupancy    0.207180    0.210952    0.209066
          2                  gld_requested_throughput          Requested Global Load Throughput  1.1221GB/s  1.1495GB/s  1.1358GB/s
          2                  gst_requested_throughput         Requested Global Store Throughput  12.930MB/s  18.998MB/s  15.964MB/s
          2                    sm_efficiency_instance                   Multiprocessor Activity       7.09%       7.09%       7.09%
          2                              ipc_instance                              Executed IPC    0.308040    0.318813    0.313427
          2                      inst_replay_overhead               Instruction Replay Overhead    1.241597    1.271001    1.256299
          2                    shared_replay_overhead             Shared Memory Replay Overhead    0.000000    0.000000    0.000000
          2                    global_replay_overhead             Global Memory Replay Overhead    1.105634    1.131179    1.118406
          2              global_cache_replay_overhead       Global Memory Cache Replay Overhead    0.000000    0.000000    0.000000
          2                        tex_cache_hit_rate                    Texture Cache Hit Rate       0.00%       0.00%       0.00%
          2                      tex_cache_throughput                  Texture Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                      dram_read_throughput             Device Memory Read Throughput  1.5341GB/s  1.9353GB/s  1.7347GB/s
          2                     dram_write_throughput            Device Memory Write Throughput  105.71MB/s  151.99MB/s  128.85MB/s
          2                            gst_throughput                   Global Store Throughput  103.44MB/s  151.99MB/s  127.72MB/s
          2                            gld_throughput                    Global Load Throughput  8.9770GB/s  9.1959GB/s  9.0864GB/s
          2                     local_replay_overhead        Local Memory Cache Replay Overhead    0.000000    0.000000    0.000000
          2                         shared_efficiency                  Shared Memory Efficiency       0.00%       0.00%       0.00%
          2                            gld_efficiency             Global Memory Load Efficiency      12.50%      12.50%      12.50%
          2                            gst_efficiency            Global Memory Store Efficiency      12.50%      12.50%      12.50%
          2                       l2_l1_read_hit_rate                    L2 Hit Rate (L1 Reads)      87.55%      87.57%      87.56%
          2                  l2_texture_read_hit_rate               L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
          2                     l2_l1_read_throughput                  L2 Throughput (L1 Reads)  8.9770GB/s  9.1959GB/s  9.0864GB/s
          2                l2_texture_read_throughput             L2 Throughput (Texture Reads)  0.00000B/s  0.00000B/s  0.00000B/s
          2                     local_memory_overhead                     Local Memory Overhead       0.00%       0.01%       0.01%
          2                 warp_execution_efficiency                 Warp Execution Efficiency      89.16%      90.64%      89.90%
          2               nc_gld_requested_throughput  Requested Non-Coherent Global Load Throu  0.00000B/s  0.00000B/s  0.00000B/s
          2                                issued_ipc                                Issued IPC    0.699568    0.717117    0.708342
          2                             inst_per_warp                     Instructions per warp  1.4020e+04  1.4392e+04  1.4206e+04
          2                    issue_slot_utilization                    Issue Slot Utilization      15.41%      15.76%      15.58%
          2       local_load_transactions_per_request  Local Memory Load Transactions Per Reque    0.000000    0.000000    0.000000
          2      local_store_transactions_per_request  Local Memory Store Transactions Per Requ    0.000000    0.000000    0.000000
          2      shared_load_transactions_per_request  Shared Memory Load Transactions Per Requ    0.000000    0.000000    0.000000
