==19518== NVPROF is profiling process 19518, command: ../optNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19518== Profiling application: ../optNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19518== Profiling result:
   Start  Duration  Name
170.75ms  1.4810us  cuDeviceGetCount
170.76ms     546ns  cuDeviceGet
170.80ms     491ns  cuDeviceGetCount
170.80ms     295ns  cuDeviceGet
170.80ms  53.458us  cuDeviceGetName
170.85ms  308.10us  cuDeviceTotalMem
171.16ms     427ns  cuDeviceGetAttribute
171.16ms     273ns  cuDeviceGetAttribute
171.16ms     294ns  cuDeviceGetAttribute
171.16ms     280ns  cuDeviceGetAttribute
171.16ms     269ns  cuDeviceGetAttribute
171.16ms  46.420us  cuDeviceGetAttribute
171.21ms     437ns  cuDeviceGetAttribute
171.21ms     260ns  cuDeviceGetAttribute
171.21ms     271ns  cuDeviceGetAttribute
171.21ms     261ns  cuDeviceGetAttribute
171.21ms     345ns  cuDeviceGetAttribute
171.21ms     258ns  cuDeviceGetAttribute
171.22ms     255ns  cuDeviceGetAttribute
171.22ms     264ns  cuDeviceGetAttribute
171.22ms     259ns  cuDeviceGetAttribute
171.22ms     259ns  cuDeviceGetAttribute
171.22ms     309ns  cuDeviceGetAttribute
171.22ms     264ns  cuDeviceGetAttribute
171.22ms     266ns  cuDeviceGetAttribute
171.22ms     262ns  cuDeviceGetAttribute
171.22ms     258ns  cuDeviceGetAttribute
171.22ms     258ns  cuDeviceGetAttribute
171.22ms     273ns  cuDeviceGetAttribute
171.22ms     260ns  cuDeviceGetAttribute
171.22ms     253ns  cuDeviceGetAttribute
171.22ms     255ns  cuDeviceGetAttribute
171.22ms     264ns  cuDeviceGetAttribute
171.22ms     342ns  cuDeviceGetAttribute
171.23ms     262ns  cuDeviceGetAttribute
171.23ms     259ns  cuDeviceGetAttribute
171.23ms     258ns  cuDeviceGetAttribute
171.23ms     258ns  cuDeviceGetAttribute
171.23ms     255ns  cuDeviceGetAttribute
171.23ms     262ns  cuDeviceGetAttribute
171.23ms     254ns  cuDeviceGetAttribute
171.23ms     255ns  cuDeviceGetAttribute
171.23ms     259ns  cuDeviceGetAttribute
171.23ms     264ns  cuDeviceGetAttribute
171.23ms     257ns  cuDeviceGetAttribute
171.23ms     260ns  cuDeviceGetAttribute
171.23ms     260ns  cuDeviceGetAttribute
171.23ms     260ns  cuDeviceGetAttribute
171.23ms     258ns  cuDeviceGetAttribute
171.23ms     260ns  cuDeviceGetAttribute
171.23ms     262ns  cuDeviceGetAttribute
171.24ms     262ns  cuDeviceGetAttribute
171.24ms     258ns  cuDeviceGetAttribute
171.24ms     253ns  cuDeviceGetAttribute
171.24ms     253ns  cuDeviceGetAttribute
171.24ms     255ns  cuDeviceGetAttribute
171.24ms     267ns  cuDeviceGetAttribute
171.24ms     262ns  cuDeviceGetAttribute
171.24ms     262ns  cuDeviceGetAttribute
171.24ms     255ns  cuDeviceGetAttribute
171.24ms     256ns  cuDeviceGetAttribute
171.24ms  225.30us  cuDeviceGetAttribute
171.47ms     338ns  cuDeviceGetAttribute
171.47ms     262ns  cuDeviceGetAttribute
171.47ms     251ns  cuDeviceGetAttribute
171.47ms     267ns  cuDeviceGetAttribute
171.47ms     266ns  cuDeviceGetAttribute
171.47ms     267ns  cuDeviceGetAttribute
171.47ms     262ns  cuDeviceGetAttribute
171.47ms     262ns  cuDeviceGetAttribute
171.47ms     256ns  cuDeviceGetAttribute
171.47ms     257ns  cuDeviceGetAttribute
171.47ms     254ns  cuDeviceGetAttribute
171.47ms     345ns  cuDeviceGetAttribute
171.47ms     255ns  cuDeviceGetAttribute
171.48ms     257ns  cuDeviceGetAttribute
171.48ms     261ns  cuDeviceGetAttribute
171.48ms     286ns  cuDeviceGetAttribute
171.48ms     259ns  cuDeviceGetAttribute
171.48ms     259ns  cuDeviceGetAttribute
