==19444== NVPROF is profiling process 19444, command: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling application: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling result:
   Start  Duration  Name
169.64ms  1.4910us  cuDeviceGetCount
169.64ms     529ns  cuDeviceGet
169.68ms     502ns  cuDeviceGetCount
169.68ms     284ns  cuDeviceGet
169.68ms  54.098us  cuDeviceGetName
169.74ms  314.68us  cuDeviceTotalMem
170.05ms     455ns  cuDeviceGetAttribute
170.05ms     286ns  cuDeviceGetAttribute
170.05ms     289ns  cuDeviceGetAttribute
170.05ms     276ns  cuDeviceGetAttribute
170.05ms     302ns  cuDeviceGetAttribute
170.05ms  47.540us  cuDeviceGetAttribute
170.10ms     401ns  cuDeviceGetAttribute
170.10ms     259ns  cuDeviceGetAttribute
170.10ms     277ns  cuDeviceGetAttribute
170.10ms     267ns  cuDeviceGetAttribute
170.11ms     340ns  cuDeviceGetAttribute
170.11ms     272ns  cuDeviceGetAttribute
170.11ms     257ns  cuDeviceGetAttribute
170.11ms     269ns  cuDeviceGetAttribute
170.11ms     262ns  cuDeviceGetAttribute
170.11ms     262ns  cuDeviceGetAttribute
170.11ms     307ns  cuDeviceGetAttribute
170.11ms     257ns  cuDeviceGetAttribute
170.11ms     263ns  cuDeviceGetAttribute
170.11ms     264ns  cuDeviceGetAttribute
170.11ms     258ns  cuDeviceGetAttribute
170.11ms     266ns  cuDeviceGetAttribute
170.11ms     275ns  cuDeviceGetAttribute
170.11ms     260ns  cuDeviceGetAttribute
170.11ms     262ns  cuDeviceGetAttribute
170.11ms     262ns  cuDeviceGetAttribute
170.11ms     267ns  cuDeviceGetAttribute
170.12ms     312ns  cuDeviceGetAttribute
170.12ms     261ns  cuDeviceGetAttribute
170.12ms     260ns  cuDeviceGetAttribute
170.12ms     256ns  cuDeviceGetAttribute
170.12ms     260ns  cuDeviceGetAttribute
170.12ms     257ns  cuDeviceGetAttribute
170.12ms     353ns  cuDeviceGetAttribute
170.12ms     274ns  cuDeviceGetAttribute
170.12ms     260ns  cuDeviceGetAttribute
170.12ms     271ns  cuDeviceGetAttribute
170.12ms     276ns  cuDeviceGetAttribute
170.12ms     274ns  cuDeviceGetAttribute
170.12ms     273ns  cuDeviceGetAttribute
170.12ms     261ns  cuDeviceGetAttribute
170.12ms     260ns  cuDeviceGetAttribute
170.12ms     266ns  cuDeviceGetAttribute
170.13ms     262ns  cuDeviceGetAttribute
170.13ms     258ns  cuDeviceGetAttribute
170.13ms     257ns  cuDeviceGetAttribute
170.13ms     263ns  cuDeviceGetAttribute
170.13ms     264ns  cuDeviceGetAttribute
170.13ms     257ns  cuDeviceGetAttribute
170.13ms     256ns  cuDeviceGetAttribute
170.13ms     269ns  cuDeviceGetAttribute
170.13ms     258ns  cuDeviceGetAttribute
170.13ms     257ns  cuDeviceGetAttribute
170.13ms     259ns  cuDeviceGetAttribute
170.13ms     260ns  cuDeviceGetAttribute
170.13ms  225.21us  cuDeviceGetAttribute
170.36ms     317ns  cuDeviceGetAttribute
170.36ms     268ns  cuDeviceGetAttribute
170.36ms     257ns  cuDeviceGetAttribute
170.36ms     270ns  cuDeviceGetAttribute
170.36ms     269ns  cuDeviceGetAttribute
170.36ms     279ns  cuDeviceGetAttribute
170.36ms     274ns  cuDeviceGetAttribute
170.36ms     268ns  cuDeviceGetAttribute
170.36ms     263ns  cuDeviceGetAttribute
170.36ms     252ns  cuDeviceGetAttribute
170.36ms     257ns  cuDeviceGetAttribute
170.37ms     343ns  cuDeviceGetAttribute
170.37ms     261ns  cuDeviceGetAttribute
170.37ms     262ns  cuDeviceGetAttribute
170.37ms     264ns  cuDeviceGetAttribute
170.37ms     286ns  cuDeviceGetAttribute
170.37ms     260ns  cuDeviceGetAttribute
170.37ms     272ns  cuDeviceGetAttribute
170.37ms     260ns  cuDeviceGetAttribute
170.37ms  223.68us  cuDeviceGetAttribute
170.59ms     329ns  cuDeviceGetAttribute
170.60ms     281ns  cuDeviceGetAttribute
170.60ms     268ns  cuDeviceGetAttribute
170.60ms     265ns  cuDeviceGetAttribute
170.60ms     265ns  cuDeviceGetAttribute
170.60ms     269ns  cuDeviceGetAttribute
170.60ms     264ns  cuDeviceGetAttribute
170.61ms  166.37ms  cudaEventCreate
336.98ms  1.9780us  cudaEventCreate
336.98ms  6.0460us  cudaEventRecord
336.98ms  6.8080us  cudaEventSynchronize
336.99ms  234.75us  cudaMalloc
337.23ms  9.6350us  cudaMalloc
337.24ms  7.5290us  cudaMalloc
337.25ms  223.74us  cudaMalloc
337.47ms  222.58us  cudaMalloc
337.69ms  230.72us  cudaMalloc
337.92ms  222.38us  cudaMalloc
338.15ms  213.29us  cudaMalloc
338.36ms  10.550us  cudaMalloc
338.38ms  20.852us  cudaMemcpy
338.40ms  10.727us  cudaMemcpy
338.42ms  11.107us  cudaMemcpy
338.43ms  966.58us  cudaMemcpy
339.39ms  1.8597ms  cudaMemcpy
341.25ms  928.16us  cudaDeviceSynchronize
342.18ms  3.2670us  cudaEventCreate
342.19ms  1.1960us  cudaEventCreate
342.19ms  4.1920us  cudaEventRecord
342.19ms  7.8280us  cudaEventSynchronize
342.23ms  29.796us  cudaStreamCreateWithFlags
342.26ms  1.3710us  cudaConfigureCall
342.26ms  3.8750us  cudaSetupArgument
342.27ms     299ns  cudaSetupArgument
342.27ms     579ns  cudaSetupArgument
342.27ms     284ns  cudaSetupArgument
342.27ms     225ns  cudaSetupArgument
342.27ms     226ns  cudaSetupArgument
342.27ms     357ns  cudaSetupArgument
342.27ms     258ns  cudaSetupArgument
342.27ms     227ns  cudaSetupArgument
342.27ms     225ns  cudaSetupArgument
342.27ms     225ns  cudaSetupArgument
342.27ms  28.122us  cudaLaunch (lssStep1(unsigned int*, unsigned int*, int*, int*, int*, int*, unsigned int*, int, int, int, int) [126])
342.30ms  12.639us  cudaMemcpyAsync
342.32ms     444ns  cudaConfigureCall
342.32ms     383ns  cudaSetupArgument
342.32ms     222ns  cudaSetupArgument
342.32ms     225ns  cudaSetupArgument
342.32ms     233ns  cudaSetupArgument
342.32ms     225ns  cudaSetupArgument
342.32ms     223ns  cudaSetupArgument
342.32ms     226ns  cudaSetupArgument
